Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI-001,ISI-001,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB080085270,Active,PrismaticCase,3000,70,573,249,26,4.2,3.67,2.7,2.6,52,1,387,,26,2.6,1,'Nan',275,7.9,99,'Nan',2020,x,x,KKDS-20200406-BM-CEL-03 ,TUM,CC-CV,'Nan',90
ISI-002,ISI-002,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB98188216P,Active,PrismaticCase,6000,70,338,146,30,4.2,3.7,2.7,6,600,1,780,,90,6,1,'Nan',223,9.4,199,'Nan',2020,x,x,-,,CC-CV,'Nan',90
ISI-010,ISI-010,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB120460330,Active,PrismaticCase,6000,80,425,186,150,4.2,3.7,2.7,30,300,1,3020,,150,30,1,'Nan',327,10.5,462,'Nan',2020,x,x,KKDS-20200514-BM-CEL-24 ,SDL_25604,CC-CV,'Nan',90
ISI-011,ISI-011,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB140460330,Active,PrismaticCase,6000,70,437,189,200,4.2,3.7,2.7,40,400,1,3955,,200,40,1,'Nan',327,13.6,462,'Nan',2020,x,x,-,,CC-CV,'Nan',90
ISI-012,ISI-012,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB160460330,Active,PrismaticCase,6000,70,455,198,240,4.2,3.7,2.7,48,480,1,4510,,240,48,1,'Nan',327,15.8,462,'Nan',2020,x,x,KKDS-20200514-BM-CEL-26 ,SDL_21687,CC-CV,'Nan',90
ISI-013,ISI-013,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB100216216H,Active,PrismaticCase,6000,70,370,159,40,4.2,3.7,2.7,8,320,1,940,,120,8,1,'Nan',227,10.3,226,'Nan',2020,x,x,-,TUM,CC-CV,'Nan',90
ISI-014,ISI-014,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB120216216HR2,Active,PrismaticCase,10000,70,348,150,46,4.2,3.7,2.7,9.2,368,1,1145,,138,9.2,1,'Nan',227,12.2,226,'Nan',2020,x,x,KKDS-20200310-BM-CEL-01 ,TUM,CC-CV,'Nan',90
ISI-015,ISI-015,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB120216216G1H,Active,PrismaticCase,6000,70,429,180,57,4.2,3.68,2.7,11.4,456,1,1175,,171,11.4,1,'Nan',227,12.2,226,'Nan',2020,x,x,KKDS-20200916-BM-CEL-31 ,TUM,CC-CV,'Nan',90
ISI-016,ISI-016,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB125255255H,Active,PrismaticCase,6000,70,'Nan',168,75,4.2,3.7,2.7,15,600,1,1665,,225,15,1,'Nan',265,13,268,'Nan',2020,x,x,-,,CC-CV,'Nan',90
ISI-017,ISI-017,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB125255255G1H,Active,PrismaticCase,6000,70,'Nan',181,85,4.2,3.7,2.7,17,680,1,1735,,255,17,1,'Nan',265,12.6,268,'Nan',2020,x,x,-,,CC-CV,'Nan',90
ISI-018,ISI-018,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,CA40,Active,PrismaticCase,2000,80,'Nan','Nan',40,3.65,3.2,2.5,12,80,0.3,1500,,40,12,0.3,'Nan',116,46,118,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-019,ISI-019,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,CA60,Active,PrismaticCase,2000,80,'Nan','Nan',60,3.65,3.2,2.5,18,120,0.3,2000,,60,18,0.3,'Nan',115,41,240,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-020,ISI-020,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,CA100,Active,PrismaticCase,2000,80,'Nan','Nan',100,3.65,3.2,2.5,30,200,0.3,3400,,100,30,0.3,'Nan',142,67,213,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-021,ISI-021,CALB,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,SE180AHA,Active,PrismaticCase,2000,80,'Nan','Nan',180,3.65,3.2,2.5,54,180,1,5600,,180,54,0.3,0.97,180,71,279,'Nan',2016,,,15.08.2016,,CC-CV,'Nan','Nan'
ISI-022,ISI-022,CATL,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LEP71H3L7-01,Active,PrismaticCase,4000,80,'Nan','Nan',302,3.65,3.2,2.5,151,302,0.5,5510,,302,151,0.5,'Nan',207,71,173,'Nan',2018,x,,Document: CTPS-71H3L7-01 ,,CC-CV,'Nan','Nan'
ISI-023,ISI-023,CATL,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LEP54H4K1,Active,PrismaticCase,3500,80,'Nan','Nan',202,3.65,3.2,2.5,101,202,0.5,3840,,202,101,0.5,'Nan',201,57,174,'Nan',,x,,-,,CC-CV,'Nan','Nan'
ISI-024,ISI-024,COSLIGHT,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,FP45173209A,Active,PrismaticCase,3000,80,'Nan','Nan',150,3.65,3.2,2.5,75,450,0.5,3840,,150,75,0.5,'Nan',201,45.5,174,'Nan',,x,,-,,CC-CV,'Nan',100
ISI-025,ISI-025,ECO POWER GROUP,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,EC-AU228-NAH3L4,Active,PrismaticCase,2000,80,'Nan','Nan',228,3.65,3.2,2.5,76,456,1,4200,,228,76,1,'Nan',207,54,174,'Nan',2019,x,,-,,CC-CV,'Nan',80
ISI-026a,ISI-026,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF280N-72174,Active,PrismaticCase,1800,80,'Nan','Nan',280,3.65,3.2,2.5,140,280,1,5300,,280,140,1,0.5,205,72,174,'Nan',2019,x,,22.12.2019,@45°C,CC-CV,0.05,100
ISI-026b,ISI-026,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF280N-72174,Active,PrismaticCase,3500,80,'Nan','Nan',280,3.65,3.2,2.5,140,280,1,5300,,280,140,1,0.5,205,72,174,'Nan',2019,x,,22.12.2019,@25°C,CC-CV,0.05,100
ISI-027a,ISI-027,EVE Energy,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,LF304-72174,Active,PrismaticCase,3500,80,'Nan','Nan',304,3.65,3.2,2.5,152,304,1,5490,,304,152,1,0.5,209,72,174,'Nan',2020,x,,07.05.2020,@25°C,CC-CV,0.05,100
