manufacturer;model;wikidata;source;Type;Case;Mass;Diameter;Height;Thickness;Width;NominalVoltage;NominalCapacity;LowerVoltageLimit;UpperVoltageLimit;MaximumChargeCurrent;MaximumDischargeCurrent
LG Chem;INR18650-MJ1;https://www.wikidata.org/wiki/Q120766894;https://www.tme.eu/Document/5c2d6c3af4c7f80dd8c049bf502c2666/INR18650-MJ1.pdf;LithiumIonBattery;R18650;0,049;18,4;65;;;3,635;3,5;2,5;4,2;3,4;10
Samsung SDI;ICR18650-22P;https://www.wikidata.org/wiki/Q124781034;https://www.tme.eu/Document/cf2b91a94627173083963b831db6ea62/ACCU-18650-2.2P-HV.pdf;LithiumIonBattery;R18650;0,0445;18,4;65;;;3,62;2,15;2,75;4,2;2,15;10
LG Chem;INR18650-MH1;https://www.wikidata.org/wiki/Q124781282;https://www.tme.eu/Document/21ae98ff53f5d39fe5ebfe42dfc0a574/INR18650MH1.pdf;LithiumIonBattery;R18650;0,049;18,39;65,15;;;3,63;3,2;2,5;4,2;3,1;10
Samsung SDI;ICR18650-26JM;;https://www.tme.eu/Document/f4cded3154f98dca54d36390b138423c/ACCU-ICR18650-26JM.pdf;LithiumIonBattery;R18650;0,045;18,4;65;;;3,63;2,6;2,75;4,2;2,6;5,2
Samsung SDI;INR18650-25R;https://www.wikidata.org/wiki/Q120785885;https://www.tme.eu/Document/d5041798b41b6ad5e98cd9d1377d272d/INR18650-25R.pdf;LithiumIonBattery;R18650;0,045;18,33;64,85;;;3,6;2,5;2,5;4,2;4;20
Samsung SDI;INR18650-29E6;;https://www.tme.eu/Document/bdf3bec3bd9898cb175128fb3dc18769/ACCU-INR18650-29E.pdf;LithiumIonBattery;R18650;0,048;18,4;65;;;3,65;2,85;2,5;4,2;2,75;5,5
LG Chem;INR18650-F1L;;https://www.tme.eu/Document/e1a8dc537fef25f98a0a4a2008563652/ACCU-INR18650-3.35.pdf;LithiumIonBattery;R18650;0,049;18,29;65,15;;;3,63;3,35;2,5;4,2;1,625;4,875
Samsung SDI;INR18650-30Q;;https://www.tme.eu/Document/3758ff94c10fc01599169bfa35da1497/ACCU-INR18650-30Q.pdf;LithiumIonBattery;R18650;0,048;18,4;65;;;3,6;2,95;2,5;4,2;4;15
Samsung SDI;INR18650-35E;https://www.wikidata.org/wiki/Q120799558;https://www.tme.eu/Document/f9d93f9cb60fa6eb0a4caf9df5c96711/ACCU-INR18650-35E.pdf;LithiumIonBattery;R18650;0,05;18,55;65,25;;;3,6;3,35;2,65;4,2;2;8
LG Chem;INR18650-M26;;https://www.tme.eu/Document/5f9e0bb21f7c5b4c5b4b8a3ca657e80d/ACCU-INR18650-M26.pdf;LithiumIonBattery;R18650;0,044;18,4;65,2;;;3,65;2,6;2,75;4,2;2,5;10
LG Chem;INR18650-M29;;https://www.tme.eu/Document/a81a53fd50e4c74a6eccac3e68d4b4b3/ACCU-INR18650-M29.pdf;LithiumIonBattery;R21700;;;;;;;;;;;
Samsung SDI;INR21700-30T;;https://www.tme.eu/Document/d6147ab6f2b82f7e0b98d79910473d06/samsung-INR21700-30t-datasheet.pdf;LithiumIonBattery;R21700;;;;;;;;;;;
Samsung SDI;INR21700-40T;;https://www.tme.eu/Document/ce39e3f7739112dc81e80cdebae6518a/ACCU-INR21700-40T.pdf;LithiumIonBattery;R21700;;;;;;;;;;;
Samsung SDI;INR21700-50E;;https://www.tme.eu/Document/e948e50acfabc40715ac04f8f2d8820b/Introduction%20of%20INR21700-50E.PDF;LithiumIonBattery;R21700;;;;;;;;;;;
Panasonic;NCR18650B;;https://www.tme.eu/Document/3e0170a1e089819f286f7066e69035b4/NCR18650B.pdf;LithiumIonBattery;R18650;;;;;;;;;;;
Panasonic;NCR18650GA;;https://www.tme.eu/Document/ae3467edeab6882567a6fea9726e74dc/NCR18650GA.pdf;LithiumIonBattery;R18650;;;;;;;;;;;
Samsung SDI;ICR18650-26J3;;https://www.tme.eu/Document/e4bea4d25cc8f7b90147bc416cf6083d/ICR18650-26J3.pdf;LithiumIonBattery;R18650;;;;;;;;;;;
Samsung SDI;INR18650-29E;;https://www.tme.eu/Document/bdf3bec3bd9898cb175128fb3dc18769/ACCU-INR18650-29E.pdf;LithiumIonBattery;R18650;;;;;;;;;;;
Lithium Werks;APR18650M1B;;https://www.tme.eu/Document/9e7211258f30e190585ee2fee4e580e2/APR18650M1B.pdf;LithiumIonBattery;R18650;0,0395;;;;;3,3;1,2;2;3,6;4;30
Molicel;INR18650-P28B;https://www.wikidata.org/wiki/Q120767033;;LithiumIonBattery;R18650;;;;;;;;;;;
Molicel;INR18650-P28A;https://www.wikidata.org/wiki/Q120799517;https://www.molicel.com/product/inr-18650-p28a/;LithiumIonBattery;R18650;0,046;;;;;;2,8;;;;
Molicel;INR18650-P30B;;https://www.molicel.com/inr-18650-p30b/;LithiumIonBattery;R18650;0,047;;;;;;3;;;;
Molicel;INR18650-P26A;;https://www.molicel.com/wp-content/uploads/INR18650P26A_1.4_Product-Data-Sheet-of-INR-18650-P26A-80087.pdf;LithiumIonBattery;R18650;0,05;;;;;;2,6;;;;
Molicel;INR21700-P42A;;https://www.molicel.com/product/inr-21700-p42a/;LithiumIonBattery;R21700;0,07;;;;;;4,2;;;;
Molicel;INR2170-P45B;;https://www.molicel.com/inr21700-p45b/;LithiumIonBattery;R21700;0,069;;;;;;4,5;;;;
Panasonic;CGA103450;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/CGA103450;LithiumIonBattery;;0,0392;;48,75;10,5;33,8;3,7;1,95;;;;
Panasonic;CGA463443XA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/CGA463443XA;LithiumIonBattery;;0,0155;;42,7;4,6;33,8;3,8;0,91;;;;
Panasonic;CGA463450XA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/CGA463450XA;LithiumIonBattery;;0,0176;;49,7;4,55;33,8;3,8;1,03;;;;
Panasonic;CGA553450XA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/CGA553450XA;LithiumIonBattery;;0,0215;;49,9;5,7;33,8;3,8;1,31;;;;
Panasonic;CGA573442;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/CGA573442;LithiumIonBattery;;0,0185;;41,8;5,6;33,8;3,7;0,96;;;;
Panasonic;NCA103443;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA103443;LithiumIonBattery;;0,0334;;42,7;10,5;33,8;3,6;2,01;;;;
Panasonic;NCA103450;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA103450;LithiumIonBattery;;0,0383;;48,5;10,5;33,8;3,6;2,35;;;;
Panasonic;NCA463436A;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA463436A;LithiumIonBattery;;0,0124;;35,5;4,6;34,3;3,6;0,72;;;;
Panasonic;NCA496080SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA496080SA;LithiumIonBattery;;0,057;;80,25;4,95;60;3,6;3,49;;;;
Panasonic;NCA523436;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA523436;LithiumIonBattery;;0,0141;;35,5;5,15;34,3;3,6;0,84;;;;
Panasonic;NCA573544;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA573544;LithiumIonBattery;;0,0198;;44,25;5,8;34,6;3,6;1,19;;;;
Panasonic;NCA593142SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA593142SA;LithiumIonBattery;;0,0177;;42,25;5,9;30,95;3,6;1,11;;;;
Panasonic;NCA593446;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA593446;LithiumIonBattery;;0,0206;;46;5,9;33,8;3,6;1,3;;;;
Panasonic;NCA596080;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA596080;LithiumIonBattery;;0,067;;80,2;5,85;60;3,6;4,17;;;;
Panasonic;NCA596080SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA596080SA;LithiumIonBattery;;0,068;;80,2;5,95;60;3,6;4,53;;;;
Panasonic;NCA622944SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA622944SA;LithiumIonBattery;;0,0181;;44,7;6,25;28,7;3,6;1,17;;;;
Panasonic;NCA623535;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA623535;LithiumIonBattery;;0,0176;;35,1;6,3;35,2;3,6;1,1;;;;
Panasonic;NCA653864;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA653864;LithiumIonBattery;;0,0366;;64,6;6,5;38,1;3,6;2,2;;;;
Panasonic;NCA653864SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA653864SA;LithiumIonBattery;;0,037;;64,6;6,5;38,1;3,6;2,4;;;;
Panasonic;NCA673440;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA673440;LithiumIonBattery;;0,0203;;40,35;6,75;33,8;3,6;1,265;;;;
Panasonic;NCA752836A;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA752836A;LithiumIonBattery;;0,0167;;35,95;7,8;27,9;3,6;1,01;;;;
Panasonic;NCA793540;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA793540;LithiumIonBattery;;0,0247;;40,5;7,95;35,1;3,6;1,57;;;;
Panasonic;NCA843436;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA843436;LithiumIonBattery;;0,023;;35,7;8,7;33,9;3,6;1,3;;;;
Panasonic;NCA882936SA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA882936SA;LithiumIonBattery;;0,0201;;36,55;8,8;28,7;3,6;1,31;;;;
Panasonic;NCA903864A;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCA903864A;LithiumIonBattery;;0,0507;;64,05;9;38;3,6;3,28;;;;
Panasonic;NCR18500A;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCR18500A;LithiumIonBattery;;0,0345;18,5;49,5;;;3,6;2,04;;;;
Panasonic;NCR1850B;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCR1850B;LithiumIonBattery;;0,0365;18,5;49,6;;;3,6;2,35;;;;
Panasonic;NCR18650BD;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCR18650BD;LithiumIonBattery;;0,0495;18,5;65,3;;;3,6;3,18;;;;
Panasonic;NCR18650BF;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCR18650BF;LithiumIonBattery;;0,0475;18,6;65,3;;;3,6;3,35;;;;
Panasonic;NCR18650GA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/NCR18650GA;LithiumIonBattery;;0,0495;18,5;65,3;;;3,6;3,45;;;;
Panasonic;UF103450PN;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UF103450PN;LithiumIonBattery;;0,0385;;48,8;10,5;33,8;3,7;2;;;;
Panasonic;UF463450FP;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UF463450FP;LithiumIonBattery;;0,0185;;49,6;4,45;33,85;3,7;0,96;;;;
